Doculect,Concept,Form
Urarina,EYE,n̪ũʰt̪á 
Urarina,NOSE,aʰs̪í
Urarina,FIRE,iʰs̪í
Urarina,WATER,aʰkaɨ́
Urarina,EAR,ɨd̺itʃú
Urarina,TONGUE,l̪el̪é
Urarina,HEAD,kuɨʰtɨɾ̺í
Urarina,FISH,aʰt̪é
Urarina,MOUTH,ɨhɨᶭaé
Urarina,BLOOD,kujtʃan̪ã́
Urarina,SMALL,l̪auhud̺í
Urarina,GOOD,kawatʃá
Urarina,TOOTH,kaʰt̪ɨ́
Urarina,BIG,t̪as̪iṹhũĩ
Urarina,SEE,kuad̺aá
Urarina,DOG,d̺ẽmãẽ́
Urarina,SLEEP,s̪in̪ĩã́
Urarina,BLACK,hiʰtʃuhuái
Urarina,WHITE,s̪umãhã́ĩ
Urarina,LEAF,ahen̪ã́
Urarina,BIRD,t̪ahaé
Urarina,STONE,ahed̺í
Urarina,NIGHT,han̪ũt̪ĩ́ĩ́
Urarina,EGG,t̪ahé
Urarina,NECK,n̪ɨ̃l̪ɨnṹ; ɨl̪ɨn̪ṹ
Urarina,COME,ɨɰá
Urarina,BONE,"bɨʰkɨ́, ebɨʰkɨ́"
Urarina,SAND,kaɹ̺en̪ẽ́
Urarina,BELLY,s̪ɨd̺í
Urarina,SMOKE,s̪ɨɹ̺aá
Urarina,HEAR,aun̪ãã́
Urarina,SNAKE,aʰkan̪ṹ
Urarina,STAR,ad̺as̪ihié
Urarina,RED,l̪an̪ãhiĩ́
Urarina,EAT,l̪en̪ũn̪iá
Urarina,ROOT,hais̪í
Urarina,HAND,bihí
Urarina,DRY,haʰkuɹ̺ú
Urarina,LEG,an̪ããẽ́
Urarina,FOOT,t̪ihiá
Urarina,WIND,kɨhɨan̪ã́
Urarina,CLOUD,d̪ed̪e saʰkád̺i
Urarina,BAD,baas̪ú
Urarina,HAIR,kuɨʰt̪ɨd̺uhí
Urarina,DRINK,kuʰkuwá
Urarina,TAIL,n̪ɨ̃s̪eéi
Urarina,LONG,kaɾ̺aʰt̪í
Urarina,1S,kan̪ɨ̃́
Urarina,NAME,kɨd̺aá
Urarina,BITE,kal̪aá
Urarina,FALL,kumũũá
Urarina,WHAT,dʒa; dʒahé
Urarina,ASH,ahan̪ẽ́
Urarina,LIVER,l̪ahá
Urarina,PERSON,kadʒá
Urarina,WHO,dʒá
Urarina,NEW,n̪ãdʒás̪iɲẽ
Urarina,2S,ií
Urarina,KILL,aʰt̪eiɲãã́
Urarina,LAUGH,en̪ũãn̪ãã́
Urarina,LOUSE,aʰt̪ad̺í́
Urarina,SKY,d̪ed̪é
Urarina,WET,s̪eʰt̪eẽ́t̪i
Urarina,HEAVY,an̪ããĩʰt̪í
Urarina,WALK,amɨ̃n̪ã́ã
Urarina,FLY (MOVE THROUGH AIR),hiaaɨl̪ɨn̪ã
Urarina,YELLOW,fʷan̪ãɾ̺a kaʰtá tuʰkuʷan̪ĩ
Urarina,SIT,n̪ẽl̪aɨd̺iaá
Urarina,WING,it̪ad̺ú
Urarina,FAR,kud̺iaaé
Urarina,ROPE,en̪ũũé
Urarina,THIS,kaá
Urarina,SUN,en̪ũt̪ú
Urarina,GRASS,fʷas̪t̪ú
Urarina,SHORT,s̪aɾ̺uʷeki
Urarina,TREE,n̪ɨ̃ɨ̃n̪ã́
Urarina,FIVE,s̪aukí
Urarina,STAND,n̪ĩtʃaaɨd̺án̪ã
Urarina,2PL,iɲad̺á
Urarina,DAY (NOT NIGHT),hiitʃuú
Urarina,SWIM,fʷitʃun̪ã́
Urarina,BACK,han̪ũd̺í
Urarina,DIG,bahen̪ãã́
Urarina,NEAR,iʰtʃũṹ
Urarina,SAY,ait̪un̪ã́
Urarina,EARTH (SOIL),aʰt̪án̪ẽ́
Urarina,LEFT,n̪ãhaabihí
Urarina,GIVE,t̪en̪ãã́
Urarina,RIGHT,d̺aut̪un̪ṹ
Urarina,WHERE,dʒɨ́
Urarina,FEAR (BE AFRAID),kasiɲãã́
Urarina,SHARP,ahĩjãt̪í
Urarina,VOMIT,n̪aɾuʷaká
Urarina,FLOWER,ɨhɨɰan̪ẽ́
Urarina,SALT,t̪ebé
Urarina,THAT,n̪ĩĩ́
Urarina,GREEN,beɾ̺aɨɾ̺isiiúhʷai
Urarina,OLD,biiɲãã́
Urarina,DIRTY,baʰt̪aẽẽ́ti
Urarina,3PL,aʰkaaɨd̺ɨ́
Urarina,FEATHER,t̪ahaae ɨhɨí
Urarina,KNOW (SOMETHING),kuiʰt̪ɨkɨn̪ãã́
Urarina,BLOW (OF WIND),fɨɰakaá
Urarina,THROW,s̪ijeit̪uʷá
Urarina,DIE,uʷá
Urarina,BE ALIVE,iʰtʃauwá
Urarina,ALL,s̪at̪ĩ́ĩ́
Urarina,THICK,t̪as̪iṹhũãĩ
Urarina,FAT (ORGANIC SUBSTANCE),ed̺en̪ẽ́
Urarina,DUST,buhuiɲaaú
Urarina,WOMAN,en̪ẽ́
Urarina,HUNT,n̪ẽs̪ad̺ĩɲã́
Urarina,BREATHE,n̪ed̺aiɲãã́
Urarina,HEART,mũhũẽ́
Urarina,HOLD,s̪iitʃaá
Urarina,YEAR,ahaan̪ã́ã́
Urarina,SPIT,kuɨl̪ɨn̪ẽ́n̪ã́
Urarina,FOG,n̪ũʰkuʷen̪ã́
Urarina,ROTTEN,s̪eʰt̪ɨn̪ã́ã
Urarina,SMELL (PERCEIVE),s̪aiɲẽ́
Urarina,COUNT,han̪iiɲã́
Urarina,CORRECT (RIGHT),kawatʃá
Urarina,WHEN,dʒa ban̪ã́
Urarina,SCRATCH,fʷaɨɰãn̪ã́
Urarina,SUCK,t̪uʰt̪uʷiká
Urarina,HIT,t̪ijeit̪un̪ãã́
Urarina,FOREST,n̪ɨ̃ɨ̃n̪ã́
Urarina,SEW,t̪uʰkuun̪ã́
Urarina,HOW,dʒat̪uʷan̪ẽ́ẽ́ĩ
Urarina,STICK,en̪ɨ̃ᶭã́ 
Urarina,SQUEEZE,t̪uʷakaá
Urarina,1PL,kan̪ãkaán̪ã
Urarina,SEED,n̪ũʰkɨᶭɨ́
Urarina,FLOW,mũũd̪ud̺un̪ã́
Urarina,BLUNT,ahit̪ijá
Urarina,SEA,kɨʰkᶭan̪á
Urarina,SING,n̪ẽn̪ãt̪én̪ã
Urarina,LAKE,n̪ẽmɨ̃d̺í
Urarina,THINK,kauɨn̪ã́
Urarina,THIN,haɹe̥heéd̺iʲa
Urarina,SWELL,n̪ĩhĩĩɾ̺íɲã
Urarina,MOUNTAIN,n̪ɨ̃n̪á
Urarina,MANY,ad̺ahĩĩ́
Urarina,IN,kɨ́
Urarina,SPLIT,n̪el̪ed̺ɨ́ᶭa
Urarina,MALE PERSON,kiʰʧá
Urarina,OTHER,l̪eeúʧa
Urarina,WASH,kɨl̪eeká
Urarina,RIVER,n̪ɨ̃ʰkɨᶭé
Urarina,TIE,iʰʧuʷan̪ã́
Urarina,AND,ʧããẽ́
Urarina,BARK,ʤɨhɨd̺aá
Urarina,STAB,d̺ɨkaait̪un̪ã́
Urarina,WIDE,had̺ããt̪i
Urarina,NARROW,t̪ud̺uéki
Urarina,PULL,hiɨn̪ɨ̃n̪ɨ̃n̪ã́
Urarina,PLAY,n̪ẽʰkuat̪ihján̪ãã
Urarina,WORM,d̺ian̪ṹ
Urarina,HERE,kaɨ́
Urarina,PUSH,s̪ad̺un̪ãã́
Urarina,STRAIGHT,d̪aɨhíd̪ĩ
Urarina,THERE,t̪ahiʲá
Urarina,AT,kɨ́
Urarina,RUB,d̺ɨl̪ɨl̪ɨn̪ã́
Urarina,IF,
Urarina,CUT,saɨn̪ãã́
Urarina,NOT,aiʲéi
Urarina,ROAD,bed̪ú
Urarina,SMOOTH,hiʧad̪akúhʷai
Urarina,SNOW,d̪ed̪e s̪akád̺i
Urarina,FIGHT,s̪un̪ãã́n̪ã
Urarina,WIPE,kad̺ɨd̺ɨn̪ã́
Urarina,FLOAT,mũd̪ud̺ʷan̪ã́
Urarina,FEW,kud̺at̪aháhai
Urarina,ANIMAL,t̪aibin̪ããẽ́
Urarina,RAIN (RAINING),ɨᶭá el̪ú
Urarina,CHILD (YOUNG HUMAN),kan̪ããn̪ãĩ́
Urarina,BURNING,ahaat̪í
Urarina,LIE (REST),n̪ẽl̪ud̺án̪ã
Urarina,FREEZE,hel̪ad̺un̪ãã́ ; hel̪ad̺uan̪ãã́ 
Urarina,BECAUSE,
Urarina,WITH,aʲɲã́
Urarina,GUTS,
Urarina,SOME,ʤɨn̪ĩkúʷa
