NUMBER,ENGLISH,(other gloss lgs),SegmentedForm,Variants,Comment,Source (key),CONCEPTICON_ID,CONCEPTICON_GLOSS,,
194,TODAY,en̪ẽn̪ẽ́,e n̪ ẽ n̪ ẽ́,,,ura_2002_lex_today,1283,TODAY,,HOY
195,SPEAR,d̺ehũṹ,d̺ e h ũ ṹ,,,ura_2002_lex_spear,945,SPEAR,,LANZA
197,IN,kɨ́,k ɨ́,,,ura_2002_lex_in,1460,IN,,EN
198,FROG,d̪ad̺í,d̪ a d̺ í,,,ura_2002_lex_frog,503,FROG,,RANA
199,SPLIT,n̪el̪ed̺ɨ́ᶭa,n̪ e l̪ e d̺ ɨ́ + a ,,split-NMLR',ura_2002_lex_split,1437,SPLIT,,DIVIDIR
200,MALE PERSON,kiʰʧá,k iʰ ʧ á,,,ura_2002_lex_male person,2106,MALE PERSON,,HOMBRE
201,UPPER LEG (THIGH),an̪ãẽ́,a n̪ ã ẽ́,,,ura_2002_lex_upper leg,471,UPPER LEG (THIGH),,MUSLO
202,OTHER,l̪eeúʧa,l̪ e e ú ʧ a,,,ura_2002_lex_other,197,OTHER,,OTRO
203,DOOR,aʰkɨhɨá,aʰ k ɨ h ɨ á,,,ura_2002_lex_door,1567,DOOR,,PUERTA
204,FOREHEAD,aɨd̺í,a ɨ d̺ í,,,ura_2002_lex_forehead,123,FOREHEAD,,FRENTE
205,RUN,hel̪ɨᶭad̺un̪ã́,h e l ɨᶭ a d̺ u + n a ,,run-NMLR',ura_2002_lex_run,1519,RUN,,CORRER
206,DREAM (SOMETHING),kus̪en̪iiá,k u s e n i + á ,,'dream-NMLR',ura_2002_lex_dream,1920,DREAM (SOMETHING),,SOÑAR
207,KNIFE,an̪ũhũã́,a n̪ ũ h ũ ã́,,"also 'machete', from Spanish sable",ura_2002_lex_knife,1352,KNIFE,,CUCHILLO
208,ARROW,s̪ud̺id̺íhi,s̪ u d̺ i d̺ í h i,,,ura_2002_lex_arrow,977,ARROW,,FLECHA
209,WASH,kɨl̪eeká,k ɨ l e e + k á ,,wash-NMLR',ura_2002_lex_wash,1453,WASH,,LAVAR
210,ANT,aɲãṹku,a ɲ ã ṹ k u,,,ura_2002_lex_ant,587,ANT,,HORMIGA
211,BODY,habed̺ukú,h a b e d̺ u k ú,,,ura_2002_lex_body,1480,BODY,,CUERPO
212,BE HUNGRY,mĩhĩĩt̪ún̪ã,m i h ĩ ĩ t ú + n a ,,be.hungry-NMLR',ura_2002_lex_be hungry,1533,BE HUNGRY,,TENER HAMBRE
213,RIVER,n̪ɨ̃ʰkɨᶭé,n̪ ɨ̃ʰ k ɨᶭ é,,,ura_2002_lex_river,666,RIVER,,RÍO
214,THROAT,d̺ad̺ú,d̺ a d̺ ú,,,ura_2002_lex_throat,1346,THROAT,,GARGANTA
215,ELBOW,l̪ɨl̪ɨᶭé,l̪ ɨ l̪ ɨᶭ é,,,ura_2002_lex_elbow,981,ELBOW,,CODO
216,PIG,kuus̪í,k u u s̪ í,,from Spanish cuchí 'pig',ura_2002_lex_pig,1337,PIG,,CERDO
217,CAT,miʃú,m i ʃ ú,,"Prob. from Quechua michi, in turn borrowed from Spanish",ura_2002_lex_cat,1208,CAT,,GATO
218,TIE,iʰʧuʷan̪ã́,i ʧ uʷ a + n ã́ ,,tie-NMLR',ura_2002_lex_tie,1917,TIE,,AMARRAR
219,AND,ʧããẽ́,ʧ ã ã ẽ́,,also equivalent to 'also',ura_2002_lex_and,1577,AND,,Y
220,BOY,kan̪ããn̪ã́ĩ,k a n̪ ã ã n̪ ã́ ĩ,,,ura_2002_lex_boy,1366,BOY,,CHICO
221,SICK,kɨn̪ãĩt̪én̪ã,k ɨ n a i t̪ é + n a ,,be.sick.NMLR',ura_2002_lex_sick,1847,SICK,,ENFERMO
222,BARK,ʤɨhɨd̺aá,ʤ ɨ h ɨ d̺ a + á ,,bark-NMLR',ura_2002_lex_bark,1204,BARK,,LADRAR
223,NEEDLE (FOR SEWING),uʰkú,uʰ k ú,,,ura_2002_lex_needle,1382,NEEDLE (FOR SEWING),,Aguja (para coser)
224,STAB,d̺ɨkaait̪un̪ã́,d̺ ɨ k a a i t u + n á ,,stab-NMLR',ura_2002_lex_stab,1434,STAB,,APUÑALAR
225,FEMALE PERSON,ẽn̪ẽ́,ẽ n̪ ẽ́,,,ura_2002_lex_female person,2105,FEMALE PERSON,,MUJER
226,WIDE,had̺ããt̪i,h a d̺ ã ã + t í ,,be.wide-INTENS:NMLR',ura_2002_lex_wide,1243,WIDE,,ANCHO
227,TAKE,mũkun̪ãã́,m u k u + n̪ a á ,,take-NMLR',ura_2002_lex_take,1749,TAKE,,LLEVAR
228,NARROW,t̪ud̺uéki,t̪ u d̺ u é k i,,,ura_2002_lex_narrow,1267,NARROW,,ANGOSTO
229,PULL,hiɨn̪ɨ̃n̪ɨ̃n̪ã́,h i ɨ n ɨ̃ n ɨ̃ + n ã́ ,,pull-NMLR',ura_2002_lex_pull,1455,PULL,,JALAR
230,PLAY,n̪ẽʰkuat̪ihján̪ãã,n̪ ẽʰ + k u a t̪ i h j á + n̪ ã ã ,,INTR-play-NMLR',ura_2002_lex_play,1413,PLAY,,JUGAR
231,WORM,d̺ian̪ṹ,d̺ i a n̪ ṹ,,,ura_2002_lex_worm,1219,WORM,,GUSANO
232,FACE,umẽd̺í,u m ẽ d̺ í,,,ura_2002_lex_face,1560,FACE,,ROSTRO
233,HERE,kaɨ́,k a ɨ́,,,ura_2002_lex_here,136,HERE,,AQUÍ
234,PUSH,s̪ad̺un̪ãã́,s a d̺ u + n a á ,,push-NMLR',ura_2002_lex_push,1452,PUSH,,EMPUJAR
235,3S,aʰká,aʰ k á,,,ura_2002_lex_3S,2642,HE OR SHE,,ÉL / ELLA
236,MEAT,in̪ĩĩṹ,i n̪ ĩ ĩ ṹ,,,ura_2002_lex_meat,634,MEAT,,CARNE
237,CHIN,kan̪ĩʲã́,k a n̪ ĩʲ ã́,,,ura_2002_lex_chin,1510,CHIN,,MENTÓN
238,MEDICINE,kuí,k u í,,,ura_2002_lex_medicine,1372,MEDICINE,,MEDICAMENTO
239,RAINBOW,iiɲṹ,i i ɲ ṹ,,,ura_2002_lex_rainbow,1733,RAINBOW,,ARCOÍRIS
240,CLIMB,in̪ĩʲã́,i n̪ ĩ + á̃ ,,climb-NMLR',ura_2002_lex_climb,1102,CLIMB,,TREPAR
241,STRAIGHT,d̪aɨhíd̪ĩ,d̪ a ɨ h í d̪ ĩ,,,ura_2002_lex_straight,1404,STRAIGHT,,RECTO
242,BAT,an̪ẽs̪ihié,a n̪ ẽ s̪ i h i é,,,ura_2002_lex_bat,1793,BAT,,MURCIÉLAGO
243,GROW,hʷén̪ã,hʷ é + n ã,fʷén̪ã,grow-NMLR',ura_2002_lex_grow,479,GROW,,CRECER
244,HORN (ANATOMY),hiʰʧú,h iʰ ʧ ú,,,ura_2002_lex_horn,1393,HORN (ANATOMY),,CUERNO
245,HIDE,kad̺í,k a d̺ í,,,ura_2002_lex_hide,2486,HIDE,,CUERO
246,HONEY,id̺iʧahé,i d̺ i ʧ a h é,,,ura_2002_lex_honey,942,HONEY,,MIEL
247,ASK (INQUIRE),bahan̪ãã́,b a h a + n a á ,,ask-NMLR',ura_2002_lex_ask,1309,ASK (INQUIRE),,PREGUNTAR
248,FORGET,bait̪en̪ã́,b a i n t e + n á,,forget-NMLR',ura_2002_lex_forget,1523,FORGET,,OLVIDAR
249,SELL,n̪ẽʰkud̺et̪én̪ã,n ẽ + k u d̺ e t é + n ã ,,INTR-buy-NMLR',ura_2002_lex_sell,1571,SELL,,VENDER
250,FLY (INSECT),un̪ũṹ,u n̪ ũ ṹ,,,ura_2002_lex_fly,1504,FLY (INSECT),,MOSCA
251,TURN,beʰt̪ɨn̪ãã́,b eʰ t̪ ɨ + n̪ ã ã́,,turn-NMLR',ura_2002_lex_turn,1588,TURN,,DOBLAR
252,BE DEAD OR DIE,uʷá,uʷ + á,,die-NMLR',ura_2002_lex_be dead or die,2101,BE DEAD OR DIE,,Estar muerto o morir
253,AXE,t̪ed̺ú,t̪ e d̺ ú,,,ura_2002_lex_axe,677,AXE,,HACHA
254,VILLAGE,l̪uwan̪ãd̺í,l̪ u w a n̪ ã d̺ í,,,ura_2002_lex_village,930,VILLAGE,,ALDEA
255,IRON,kwat̪á,k w a t̪ á,,,ura_2002_lex_iron,621,IRON,,HIERRO
256,BEE,s̪aid̺í,s̪ a i d̺ í,,,ura_2002_lex_bee,665,BEE,,ABEJA
257,WORK (ACTIVITY),amĩãn̪ẽ́n̪ã,a m ĩ ã n̪ ẽ́ + n̪ ã,,work-NMLR',ura_2002_lex_work (activity),1086,WORK (ACTIVITY),,TRABAJAR
258,NO OR NOT,aiʲeí,a iʲ e í,,,ura_2002_lex_no or not,2279,NO OR NOT,,NO
259,MORNING,han̪ũn̪ẽ́,h a n̪ ũ n̪ ẽ́,han̪un̪á,,ura_2002_lex_morning,1339,MORNING,,MAÑANA
260,SICK (or in pain),kɨn̪ãĩ s̪íd̺iʧa,k ɨ n̪ ã ĩ + s̪ í d̺ i ʧ a,,,ura_2002_lex_sick (or in pain),2103,PAINFUL OR SICK,,TENER DOLOR 
261,MONKEY,en̪ẽʧú,e n̪ ẽ ʧ ú,en̪eʰʧú,,ura_2002_lex_monkey,1350,MONKEY,,MONO
262,PENIS,l̪ahé,l̪ a h é,,,ura_2002_lex_penis,1222,PENIS,,PENE
263,THERE,t̪ahiʲá,t̪ a h iʲ á,,,ura_2002_lex_there,1937,THERE,,ALLÁ
264,CUT OR HACK,s̪aɨn̪ãã́,s̪ a ɨ + n̪ ã ã́,,cut-NMLR',ura_2002_lex_cut or hack,3889,CUT OR HACK,,CORTAR
265,SWEET,iʧuat̪í,i ʧ u a + t̪ í,,be.sweet-INTENS:NMLR',ura_2002_lex_sweet,717,SWEET,,DULCE
266,MAIZE,kat̪ud̺í,k a t̪ u d̺ í,,,ura_2002_lex_maize,506,MAIZE,,MAÍZ
267,FRIEND,amĩṹ,a m ĩ ṹ,,From Spanish amigo,ura_2002_lex_friend,1325,FRIEND,,AMIGO
268,FIREWOOD,ufuʷeí,u f uʷ e í,,,ura_2002_lex_firewood,10,FIREWOOD,,LEÑA
269,COUGH,has̪ed̺í,h a s̪ e d̺ í,,,ura_2002_lex_cough,879,COUGH,,TOS
270,ROOSTER,at̪awad̺i kɨd̺áán̪ã,a t̪ a w a d̺ i + k ɨ d̺ á á n̪ ã,,chicken' + 'chief',ura_2002_lex_rooster,1511,ROOSTER,,GALLO
271,WAIT (FOR),kuan̪ã́,k u a + n̪ ã́,,wait-NMLR',ura_2002_lex_wait (for),1590,WAIT (FOR),,ESPERAR)
272,FAECES (EXCREMENT),ɨhɨé,ɨ h ɨ é,,,ura_2002_lex_faeces (excement),675,FAECES (EXCREMENT),,HECES (EXCREMENTO)
273,FASTEN,mɨ̃kɨ̃n̪ãã́,m ɨ̃ k ɨ̃ + n̪ ã ã́,,fasten-NMLR',ura_2002_lex_fasten,1094,FASTEN,,SUJETAR
274,GIRL,ẽẽn̪ẽ́,ẽ ẽ n̪ ẽ́,eʰne,,ura_2002_lex_girl,1646,GIRL,,CHICA
275,FAST,ed̺uhʷẽĩ́,e d̺ u hʷ ẽ ĩ́,,,ura_2002_lex_fast,1631,FAST,,RÁPIDO
276,SHADE,fud̺akái,f u d̺ a k á i,,,ura_2002_lex_shade,1388,SHADE,,SOMBRA
277,ROUND,t̪uhʷihʲái,t̪ u hʷ i + hʲ á + i,,be.round-DER-NMLR',ura_2002_lex_round,1395,ROUND,,REDONDO
278,HORSE,kabad̺iú,k a b a d̺ i ú,,From Spanish caballo,ura_2002_lex_horse,615,HORSE,,CABALLO
279,AT,kɨ́,k ɨ́,,,ura_2002_lex_at,1461,AT,,EN
280,RUB,d̺ɨl̪ɨl̪ɨn̪ã́,d̺ ɨ l̪ ɨ l̪ ɨ + n̪ ã́,,rub-NMLR',ura_2002_lex_rub,1449,RUB,,FROTAR
281,SOUR,el̪ɨᶭahíhʲai,e l̪ ɨᶭ a h í + hʲ a + i,,be.sour-DER-NMLR',ura_2002_lex_sour,1906,SOUR,,AGRIO
282,LOVE,hed̺en̪ã́,h e d̺ e + n̪ ã́,,love-NMLR',ura_2002_lex_love,923,LOVE,,AMAR
283,IF,,,,,,1459,IF,,SI
284,DEW,ɹus̪í,ɹ u s̪ í,,,ura_2002_lex_dew,1977,DEW,,ROCÍO
285,CROW,ɨɨhíd̪i,ɨ ɨ h í d̪ i,,,ura_2002_lex_crow,913,CROW,,CUERVO
286,BITTER,el̪ũãt̪i,e l̪ ũ ã + t̪ i,,be.bitter-INTENS:NMLR',ura_2002_lex_bitter,887,BITTER,,AMARGO
287,WOOD,en̪ɨ̃ᶭã́,e n̪ ɨ̃ᶭ ã́,,,ura_2002_lex_wood,1803,WOOD,,MADERA
288,CHOOSE,han̪ĩɲã́,h a n̪ ĩ + ɲ ã́,,choose-NMLR',ura_2002_lex_choose,1750,CHOOSE,,ELEGIR
289,TOBACCO,en̪ũãt̪á,e n̪ ũ ã t̪ á,,,ura_2002_lex_tobacco,974,TOBACCO,,TABACO
290,ABOVE,ekɨ̃ɨ̃,e k ɨ̃ ɨ̃,,,ura_2002_lex_above,1741,ABOVE,,ARRIBA
291,GO UP (ASCEND),in̪ĩʲã́,i n̪ ĩʲ + ã́,,go.up-NMLR',ura_2002_lex_go up (ascend),705,GO UP (ASCEND),,SUBIR
292,SCORPION,kan̪ã́ɨ̃,k a n̪ ã́ ɨ̃,,,ura_2002_lex_scorpion,1538,SCORPION,,ESCORPIÓN
293,COW,baʰká,b aʰ k á,,From Spanish vaca,ura_2002_lex_cow,1007,COW,,VACA
294,LUNG,l̪ahá,l̪ a h á,,,ura_2002_lex_lung,688,LUNG,,PULMÓN
295,CUT,saɨn̪ãã́,s a ɨ + n̪ ã ã́,,cut-NMLR',ura_2002_lex_cut ,1432,CUT,,CORTAR
296,DARK,n̪ũʰkuet̪í,n̪ ũʰ k u e + t̪ í,,be.dark-INTENS:NMLR',ura_2002_lex_dark,706,DARK,,OSCURO
297,BED,sin̪ĩɲããn̪ã́ha,s i n̪ ĩ + ɲ ã ã + n̪ ã́ h a,,sleep-NMLR-NMLR.LOC',ura_2002_lex_bed,1663,BED,,CAMA
299,RIB,n̪ĩʰʧɨᶭí,n̪ ĩʰ ʧ ɨᶭ í,,,ura_2002_lex_rib,801,RIB,,COSTILLA
300,COTTON,s̪ié,s̪ i é,,,ura_2002_lex_cotton,1850,COTTON,,ALGODÓN
301,CHICKEN,aʰt̪awad̪í,aʰ t̪ a w a d̪ í,,From Quechua,ura_2002_lex_chicken,1318,CHICKEN,,POLLO
302,CAVE,aʰt̪an̪ẽ háʧɨ,aʰ t̪ a n̪ ẽ + h á ʧ ɨ ,,land' +  'hole',ura_2002_lex_cave,1155,CAVE,,CUEVA
303,NOT,aiʲéi,a iʲ é i,,,ura_2002_lex_not,1240,NOT,,NO
304,CHEW,kiɲãã́,k i + ɲ ã ã́,,chew-NMLR',ura_2002_lex_chew,321,CHEW,,MASTICAR
305,ROAD,bed̪ú,b e d̪ ú,,,ura_2002_lex_road,667,ROAD,,CARRETERA
306,SLOW,hed̺ãẽ́,h e d̺ ã ẽ́,,,ura_2002_lex_slow,701,SLOW,,LENTO
307,MAT,bel̪á,b + e l̪ á,,ASC-mat',ura_2002_lex_mat,195,MAT,,ESTERA
308,GOAT,,,,,,1502,GOAT,,CABRA
309,STOMACH,kuʰt̪uẽd̺í,k uʰ t̪ u ẽ d̺ í,,,ura_2002_lex_stomach,819,STOMACH,,ESTÓMAGO
310,DOVE,s̪ed̺ud̺í,s̪ e d̺ u d̺ í,,,ura_2002_lex_dove,1853,DOVE,,PALOMA
311,BLUE,d̪ed̪e t̪ukuán̪ĩ,d̪ e d̪ e + t̪ u k u á n̪ ĩ ,,sky' + 'be.like',ura_2002_lex_blue,837,BLUE,,AZUL
312,COME BACK,kaɨn̪ãã́,k a ɨ + n̪ ã ã́,,come.back-NMLR',ura_2002_lex_come back,581,COME BACK,,REGRESAR
313,TIRED,kut̪áen̪ã,k u t̪ á e + n̪ ã,,be.tired-NMLR',ura_2002_lex_tired,1757,TIRED,,CANSADO
314,THIRSTY,kukuid̺én̪ã,k u k u i d̺ é + n̪ ã ,,be.thirsty-NMLR',ura_2002_lex_thirsty,847,THIRSTY,,SEDIENTO
315,BRAIN,kuɨʰt̪ɨd̺i kuɨl̪é,k u ɨʰ t̪ ɨ d̺ i + k u ɨ l̪ é,,head' + 'viscous substance' ;kuɨlé appears also in nuta kuɨlé 'tear' ,ura_2002_lex_brain,1583,BRAIN,,CEREBRO
316,ENTER,en̪ũn̪ãã́,e n̪ ũ + n̪ ã ã́,,enter-NMLR',ura_2002_lex_enter,749,ENTER,,INGRESAR
317,CANOE,en̪ãn̪ĩhj̃ã́,e n̪ ã n̪ ĩ h j̃ ã́,,,ura_2002_lex_canoe,1970,CANOE,,CANOA
318,HARD,n̪ũhʷét̪i,n̪ ũ hʷ é + t̪ i,,be.hard-INTENS:NMLR',ura_2002_lex_hard,1884,HARD,,DURO
319,SOFT,hjuhííd̺i,h j u h í í d̺ i,,,ura_2002_lex_soft,1856,SOFT,,SUAVE
320,SHOE,t̪ihja kɨd̺ɨ́,t i h j a +  k ɨ d̺ ɨ́ ,,foot' + 'recipient',ura_2002_lex_shoe,1381,SHOE,,ZAPATO
321,TURTLE,ahãũd̺í,a h ã ũ d̺ í,,,ura_2002_lex_turtle,112,TURTLE,,TORTUGA
322,BREAK (DESTROY OR GET DESTROYED),s̪uaiɲãã́,s̪ u a i + ɲ ã ã́,,break-NMLR',ura_2002_lex_break (destroy),680,BREAK (DESTROY OR GET DESTROYED),,Romper (destruir o destruir)
323,CHEEK,kan̪ĩʲã́,k a n̪ ĩʲ ã́,,,ura_2002_lex_cheek,1730,CHEEK,,MEJILLA
324,URINE,hjan̪ẽ́,h j a n̪ ẽ́,,,ura_2002_lex_urine,1142,URINE,,ORINA
325,HOE,ubaén̪ã,u b a é n̪ ã,,,ura_2002_lex_hoe,284,HOE,,AZADA
326,SMOOTH,hiʧad̪akúhʷai,h i ʧ a d̪ a k ú hʷ a i,,,ura_2002_lex_smooth,1234,SMOOTH,,LISO
327,INSIDE,kɨᶭãn̪ĩ́,k ɨᶭ ã n̪ ĩ́,,,ura_2002_lex_inside,1606,INSIDE,,DENTRO
328,SWEEP,l̪uhʷiɲãã́,l̪ u hʷ i + ɲ ã ã́,,sweep-NMLR',ura_2002_lex_sweep,230,SWEEP,,BARRER
329,LOOK,kuad̺ãn̪ã́,k u a d̺ ã + n ã́ ,,look-NMLR',ura_2002_lex_look,1819,LOOK,,MIRAR
330,BAMBOO,haɨn̪ã́,h a ɨ n̪ ã́ ,,,ura_2002_lex_bamboo,1927,BAMBOO,,BAMBÚ
331,BEAN,fud̺ut̪ú,f u d̺ u t̪ ú,,,ura_2002_lex_bean,832,BEAN,,FRIJOL
332,YAM,aʰkíí,aʰ k í í ,,,ura_2002_lex_yam,410,YAM,,BATATA
333,RICH,d̺aut̪í,d̺au-t̪í ,,"be.tasty-INTENS:NMLR'; this is RICH meaning 'be tasty', not RICH meaning 'one who has lots of money'",ura_2002_lex_rich,712,RICH,,RICO
334,HOLE,haʧɨ́,h a ʧ ɨ́,haʤɨ́,,ura_2002_lex_hole,1667,HOLE,,AGUJERO
335,PLANT (SOMETHING),t̪emɨ̃n̪ã́,t̪ e m ɨ̃ n̪ ã́,,,,1486,PLANT (SOMETHING),,PLANTAR
336,POOR,kaid̺iʰʧái,k a i d̺ iʰ ʧ á i,,,ura_2002_lex_poor,1674,POOR,,POBRE
337,LOOK FOR,ad̺iɲãã́,a d̺ i + ɲ ã ã́ ,,look.for-NMLR',ura_2002_lex_look for,1468,LOOK FOR,,BUSCAR
338,OWL,fɨn̪ã́d̺i,f ɨ n̪ ã́ d̺ i,,,ura_2002_lex_owl,735,OWL,,BÚHO
339,ELEPHANT,,,,,,1290,ELEPHANT,,ELEFANTE
340,GOLD,ud̺ʊ́,u d̺ ʊ́,,From Spanish oro,ura_2002_lex_gold,1369,GOLD,,ORO
341,BULL,,,,,,1008,BULL,,TORO
342,LAZY,bahaid̺íʰt̪i,b a h a i d̺ íʰ + t̪ i,,be.lazy-INTENS:NMLR',ura_2002_lex_lazy,1564,LAZY,,PEREZOSO
343,LIGHT (RADIATION),kun̪ṹ,k u n̪ ṹ,,,ura_2002_lex_light (radiation),630,LIGHT (RADIATION),,LUZ
344,FLAT,mãʰkad̺ad̺ú,m ãʰ k a d̺ a d̺ ú,,,ura_2002_lex_flat ,1633,FLAT,,PLANO
345,EAST,en̪ũt̪u s̪úú n̪ĩʰʧahi,e n̪ ũ t̪ u + s̪ ú ú + n̪ ĩʰ ʧ a h i,,sun' + 'get dark' + 'side',ura_2002_lex_east,1877,EAST,,ESTE
346,THREAD,s̪iʧú,s̪ i ʧ ú,,,ura_2002_lex_thread,1161,THREAD,,HILO
347,HOW MANY,iɲãt̪áhããĩ,i ɲ ã t á h ã ã + ĩ ,,how.much-PRT',ura_2002_lex_how many,822,HOW MANY,,CUÁNTO
348,PISS,hjan̪ẽ́,h j a n̪ ẽ́,,,ura_2002_lex_piss,592,PISS,,ORINAR
349,WORK (LABOUR),amĩãn̪ẽ́n̪ã,a m ĩ ã n̪ ẽ́ + n̪ ã,,,ura_2002_lex_work (labour),984,WORK (LABOUR),,TRABAJO
350,WEST,en̪ũt̪u mĩt̪ɨ́ ɨɨd̺i,e n̪ ũ t̪ u + m ĩ t̪ ɨ́ + ɨ ɨ d̺ i,,sun' + 'come out' + 'edge',ura_2002_lex_west,1817,WEST,,OESTE
351,SWALLOW,kud̺uʷá,k u d̺ uʷ + á,,swallow-NMLR',ura_2002_lex_swallow,897,SWALLOW,,TRAGAR
352,HEEL,ahaarun̪ã,a h a a r u n̪ ã,,preguntar por talón,,980,HEEL,,TALÓN
353,YOUNG,en̪ãmã́n̪ãã,e n̪ ã m ã́ n̪ ã ã,,"used to refer to young men; for young women the term is ene, 'woman'",ura_2002_lex_young,1207,YOUNG,,JOVEN
354,LIP,ɨhɨaae kad̺í,ɨ h ɨ a a e + k a d̺ í ,,mouth' + 'skin',ura_2002_lex_lip,478,LIP,,LABIO
355,DUCK,an̪ãd̺í,a n̪ ã d̺ í,,,ura_2002_lex_duck,1360,DUCK,,PATO
356,YAWN,ɨd̺ajén̪ã,ɨ d̺ a j é + n̪ ã,,yawn-NMLR',ura_2002_lex_yawun,1028,YAWN,,BOSTEZAR
357,TROUSERS,l̪ebaad̺í,l̪ e b a a d̺ í,,"Probably le= 'one' baad̺i 'skin', but the semantics is obscure",ura_2002_lex_trousers,809,TROUSERS,,PANTALONES
358,SNOW,d̪ed̪e s̪akád̺i,d̪ e d̪ e + s̪ a k á d̺ i ,,sky' + 'resin',ura_2002_lex_snow,784,SNOW,,NIEVE
359,STUPID,aas̪ú,a a s̪ ú ,,,ura_2002_lex_stupid,1518,STUPID,,ESTÚPIDO
360,FIGHT,s̪un̪ãã́n̪ã,s̪ u n̪ ã ã́ + n̪ ã,,fight-NMLR',ura_2002_lex_fight,1423,FIGHT,,PELEAR
361,THING,ɹɨkɨᶭel̪é,ɹ ɨ k ɨᶭ e l̪ é,,,ura_2002_lex_thing,738,THING,,COSA
362,HEN,aʰt̪awad̺í,aʰ t̪ a w a d̺ í,,From Quechua,ura_2002_lex_hen,1514,HEN,,GALLINA
363,THORN,uhuá,u h u á ,,,ura_2002_lex_thorn,124,THORN,,ESPINA
364,BURY,kun̪ãɨ̃t̪en̪ã́,k u n̪ ã ɨ̃ t̪ e  + n̪ ã́,,be.sick-NMLR',ura_2002_lex_bury,1719,BURY,,ENTERRAR
365,SOUP,ebaʰká,e b aʰ k á,baʰká,,ura_2002_lex_soup,1547,SOUP,,SOPA
366,TIME,hãn̪ũn̪ã́ã,h ã n̪ ũ + n̪ ã́ ã,,be.light-NMLR',ura_2002_lex_time,892,TIME,,TIEMPO
367,ARRIVE,t̪ɨd̺ɨn̪ã́ã,t̪ ɨ d̺ ɨ + n̪ ã́ ã,,arrive-NMLR',ura_2002_lex_arrive,1387,ARRIVE,,LLEGAR
368,CLOTHES,kahjun̪ẽ́,k a h j u n̪ ẽ́,,,ura_2002_lex_clothes,1895,CLOTHES,,ROPA
369,NEST,bel̪aaé,b e l̪ a a é ,,,ura_2002_lex_nest,539,NEST,,NIDO
370,DO,han̪ãã́,h a + n̪ ã ã́,,do-NMLR',ura_2002_lex_do,813,DO,,HACER
371,CLEAN,s̪umãd̺ái,s̪ u m ã d̺ á + i ,,be.white-NMLR',ura_2002_lex_clean,704,CLEAN,,LIMPIO
373,GET,ed̺ɨn̪ãã́,e d̺ ɨ + n̪ ã ã́,,get-NMLR',ura_2002_lex_get,694,GET,,CONSEGUIR
374,LIFT,mĩʧɨᶭá,m ĩ ʧ ɨᶭ + á,,lift-NMLR',ura_2002_lex_lift,501,LIFT,,ELEVAR
375,LEARN,n̪ẽd̺el̪án̪ã,n̪ ẽ + d̺ e l̪ á + n̪ ã,,INTR-teach-NMLR',ura_2002_lex_learn,504,LEARN,,APRENDER
376,CHARCOAL,aáuhʷe,a á u hʷ e,,,ura_2002_lex_charcoal,1188,CHARCOAL,,CARBÓN
377,WEAVE,han̪ũhʷĩ́,h a n̪ ũ hʷ ĩ́,,,ura_2002_lex_weave,133,WEAVE,,TEJIDO
378,JUMP,hel̪ɨn̪ã́ã,h e l̪ ɨ + n̪ ã́ ã,,jump-NMLR',ura_2002_lex_jump,1829,JUMP,,SALTAR
