NUMBER,ENGLISH,(other gloss lgs),SegmentedForm,Variants,Comment,Source (key),CONCEPTICON_ID,CONCEPTICON_GLOSS,,
546,TIGER,han̪ũl̪ad̺í,h a n̪ ũ l̪ a d̺ í,,"This is the term for 'jaguar', there is no tiger in the Amazon, but the word tigre in Amazonian Spanish is used for 'jaguar'",ura_2002_lex_jaguar,846,TIGER,,TIGRE
547,BEHIND,han̪ũd̺iʰke,h a n̪ ũ d̺ iʰ k e,,,ura_2002_lex_behind,1686,BEHIND,,DETRÁS
548,PLACE (POSITION),n̪ẽẽn̪ãhã́,n̪ ẽ ẽ n̪ ã h ã́,,,ura_2002_lex_place (position),723,PLACE (POSITION),,Lugar (posición)
549,HEALTHY,ɹaud̺ɨn̪ã́,ɹ a u d̺ ɨ n̪ ã́,,,ura_2002_lex_healthy,1364,HEALTHY,,SALUDABLE
550,SONG,n̪ẽn̪ãt̪én̪ã,n̪ ẽ n̪ ã t̪ é + n̪ ã,,sing-NMLR',ura_2002_lex_song,1096,SONG,,CANCIÓN
551,SOUL,s̪ɨɨhᶭí,s̪ ɨ ɨ hᶭ í,,,ura_2002_lex_soul,811,SOUL,,ALMA
552,SWORD,,,,,,1535,SWORD,,ESPADA
553,DRY UP,hakud̺un̪ṹ,h a k u d̺ u n̪ ṹ,,,ura_2002_lex_dry up,1786,DRY UP,,SECARSE
555,POSSUM,ad̺ul̪ád̺i,a d̺ u l̪ á d̺ i,,,ura_2002_lex_possum,470,POSSUM,,ZARIGÜEYA
556,TERMITE,d̺iʰt̪ué,d̺ iʰ t̪ u é,,,ura_2002_lex_termite,883,TERMITE,,TERMITA
557,SNORE,ad̺ad̺an̪ã́,a d̺ a d̺ a + n̪ ã́,,snore-NMLR',ura_2002_lex_snore,1983,SNORE,,RONCAR
558,BOIL (OF LIQUID),bad̺ɨᶭa,b a d̺ ɨᶭ + a,,boil-NMLR',ura_2002_lex_boil (of liquid),792,BOIL (OF LIQUID),,HERVIR
559,CATTLE,baʰka,b aʰ k a,,From Spanish vaca 'cow',ura_2002_lex_cattle,1153,CATTLE,,GANADO
560,RING,an̪ĩʧú,a n̪ ĩ ʧ ú,,From Spanish anillo,ura_2002_lex_ring,1374,RING,,ANILLO
561,PERSPIRE OR SWEAT,d̪ud̺an̪ã́n̪ã,d̪ u d̺ a n̪ ã́ + n̪ ã,,sweat-NMLR',ura_2002_lex_perspire or sweat,2458,PERSPIRE OR SWEAT,,SUDAR
562,GO OUT,mĩʰt̪ɨn̪ãã́,m ĩʰ t̪ ɨ + n̪ ã ã́ ,,go.out-NMLR',ura_2002_lex_go out,1107,GO OUT,,SALIR
563,SEIZE,ɹɨl̪ɨn̪ãã́ ,ɹ ɨ l̪ ɨ + n̪ ã ã́  ,,seize-NMLR',ura_2002_lex_seize,855,SEIZE,,APROVECHAR
564,ANIMAL,t̪aibin̪ããẽ́,t̪ a i b i n̪ ã ã ẽ́,,,ura_2002_lex_animal,619,ANIMAL,,ANIMAL
565,UGLY,ʃaúhi,ʃ a ú h i,,,ura_2002_lex_ugly,1548,UGLY,,FEO
566,LEAVE,ɹat̪id̺in̪ãã́,ɹ a t̪ i d̺ i + n̪ ã ã́ ,,leave-NMLR',ura_2002_lex_leave,1752,LEAVE,,DEJAR
567,ANSWER,t̪un̪ũd̺an̪ã́,t̪ u n̪ ũ d̺ a + n̪ ã́,,answer-NMLR',ura_2002_lex_answer,1275,ANSWER,,RESPUESTA
568,MONTH,baʰt̪en̪ẽ́,b + aʰ t̪ e n̪ ẽ́,,ASC-moon',ura_2002_lex_month,1370,MONTH,,MES
569,CHAIR,n̪ẽl̪aɨd̺ian̪ã́n̪ãha,n̪ ẽ l̪ a ɨ d̺ i a n̪ ã́ + n̪ ã h a,,INTRAN-sit-NMLR.LOC',ura_2002_lex_chair,1476,CHAIR,,SILLA
570,STRIKE,fʷauit̪un̪ã́,fʷ a u i t̪ u + n̪ ã́,,strike-NMLR',ura_2002_lex_strike,353,STRIKE,,GOLPEAR
571,SHOUT,aɨᶭaún̪ã,a ɨᶭ a ú + n̪ ã,,shout-NMLR',ura_2002_lex_shout,715,SHOUT,,GRITAR
572,WELL,kawát̪ĩĩ,k a w á + t̪ ĩ + ĩ,,be.good-INTENS-NMLR',ura_2002_lex_well,954,WELL,,BIEN
573,VERY,hat̪aaĩ,h a t̪ a a ĩ,,,ura_2002_lex_very,1311,VERY,,MUY
574,THATCH OR ROOF,kũũd̺i,k ũ ũ d̺ i,,,ura_2002_lex_thatch or roof,2100,THATCH OR ROOF,,TECHO
575,SHIRT,kubid̺í,k u b i d̺ í,,,ura_2002_lex_shirt,1622,SHIRT,,CAMISA
576,ENEMY,kut̪ait̪ud̺á,k u t̪ a i t̪ u d̺ á,,"Probably from the root kutai 'scold', the suffix -tu 'NMLR:INT and the agentive suffix -ra",ura_2002_lex_enemy,1358,ENEMY,,ENEMIGO
577,ISLAND,,,,,,622,ISLAND,,ISLA
578,PRICE,kud̺é,k u d̺ é,,,ura_2002_lex_price,657,PRICE,,PRECIO
579,CASSAVA,l̪aan̪ṹ,l̪ a a n̪ ṹ ,,,ura_2002_lex_cassava,925,CASSAVA,,YUCA
580,DAY (24 HOURS),han̪ũn̪ã́,h a n̪ ũ n̪ ã́,,,ura_2002_lex_day (24 hours),1260,DAY (24 HOURS),,Día (24 horas)
581,MIDDLE,kaʰt̪aaɨ̃́,k aʰ t̪ a a ɨ̃́,,,ura_2002_lex_middle,1093,MIDDLE,,MEDIO
582,TABLE,mẽẽs̪á,m ẽ ẽ s̪ á,,From Spanish mesa,ura_2002_lex_table,1775,TABLE,,MESA
583,RAIN (RAINING),ɨᶭá el̪ú,ɨᶭ á + e l̪ ú,,come' + 'rain',ura_2002_lex_rain (raining),1253,RAIN (RAINING),,LLOVER
584,DEITY,kan̪ã kuaɨn̪ẽ́d̺a,k a n̪ ã + k u a ɨ n̪ + ẽ́ d̺ a,,1PL' + 'create-NMLR'; this is understood as the Christian god,ura_2002_lex_deity,3231,DEITY,,DEIDAD
585,SUGAR CANE,hjad̺an̪ĩhí kahé n̪ẽn̪ã́ as̪ukad̺ú,h j a d̺ a n̪ ĩ h í + k a h é + n̪ ẽ n̪ ã́ + a s̪ u k a d̺ ú,,"cane' + 'from' + as̪ukad̺ú + 'be'; comes from Spanish azúcar; in use, hjad̺an̪ĩhí can stand alone to mean 'sugar cane'",ura_2002_lex_sugar cane,146,SUGAR CANE,,CAÑA DE AZÚCAR
586,TOGETHER,hin̪ĩĩkĩĩ́,h i n̪ ĩ ĩ k ĩ ĩ́,,,ura_2002_lex_together,2482,TOGETHER,,JUNTOS
587,LARVA,mãmĩ́,m ã m ĩ́,,,ura_2002_lex_larva,2640,LARVA,,LARVA
588,CALL,kuʰt̪jan̪ã́,k uʰ t̪ j a + n̪ ã́,,call-NMLR',ura_2002_lex_call,1084,CALL,,LLAMAR
589,WRAP,kun̪ããn̪ã́,k u n̪ ã ã + n̪ ã́,,wrap-NMLR',ura_2002_lex_wrap,1113,WRAP,,ENVOLTURA
590,WORD,ed̺en̪ãã́,e d̺ e + n̪ ã ã́,,speak-NMLR',ura_2002_lex_word,1599,WORD,,PALABRA
591,SHIVER,d̺ihihihján̪ẽn̪ã,d̺ i h i h i h j á n̪ ẽ + n̪ ã,,shiver-NMLR',ura_2002_lex_shiver,52,SHIVER,,TEMBLAR
592,TARO,,,,,,351,TARO,,ÑAME
593,GOOSE,,,,,,1187,GOOSE,,GANSO
594,WOLF,,,,,,522,WOLF,,LOBO
595,FIELD,aʰt̪án̪ẽ,aʰ t̪ á n̪ ẽ ,,,ura_2002_lex_field,212,FIELD,,CAMPO
596,CHILD (YOUNG HUMAN),kan̪ããn̪ãĩ́,k a n̪ ã ã n̪ ã ĩ́,,,ura_2002_lex_child,1304,CHILD (YOUNG HUMAN),,Niño (humano joven)
597,BUILD,han̪ãã́,h a + n̪ ã ã́,,build-NMLR',ura_2002_lex_build,1840,BUILD,,CONSTRUIR
598,BUSH,umãn̪ẽ́,u m ã n̪ ẽ́,,,ura_2002_lex_bush,1683,BUSH,,ARBUSTO
599,THIN (SLIM),had̺eheéd̺i,h a d̺ e h e é d̺ i,,,ura_2002_lex_thin (slim),1400,THIN (SLIM),,DELGADA
600,SEND,l̪eʰt̪uan̪ãã́,l̪ eʰ t̪ u a + n̪ ã ã́,,send-NMLR',ura_2002_lex_send,1127,SEND,,ENVIAR
601,WALL (OF HOUSE),l̪ud̺ed̺i bɨ́hɨᶭa,l̪ u d̺ e d̺ i + b ɨ́ h ɨᶭ a,,house+cover',ura_2002_lex_wall (of house),933,WALL (OF HOUSE),,Muro (de la casa)
602,PICK UP,mĩʤɨn̪ãã́,m ĩ ʤ ɨ + n̪ ã ã́,,pick.up-NMLR',ura_2002_lex_pick up,371,PICK UP,,LEVANTAR
603,PINE,,,,,,1740,PINE,,PINO
604,EARTHWORM,ɨʰkas̪í,ɨʰ k a s̪ í,,,ura_2002_lex_earthworm,2350,EARTHWORM,,LOMBRIZ
605,BEFORE,n̪ãhĩn̪j̃ã́,n̪ ã h ĩ n̪ j̃ ã́,,,ura_2002_lex_before,1882,BEFORE,,ANTES
606,SIDE,heed̺á,h e e d̺ á,,,ura_2002_lex_side,682,SIDE,,LADO
607,ANGRY,ubaén̪ã,u b a é n̪ ã,,,ura_2002_lex_angry,1826,ANGRY,,ENOJADO
608,GRIND,l̪ihjan̪ãã́,l̪ i h j a + n̪ ã ã́ ,,grind-NMLR',ura_2002_lex_grind,1033,GRIND,,MOLER
609,DYE,kul̪ut̪en̪ã́,k u l̪ u t̪ e + n̪ ã́,,dye-NMLR',ura_2002_lex_dye,157,DYE,,TEÑIR
610,PUMPKIN,fukú,f u k ú,,,ura_2002_lex_pumpkin,864,PUMPKIN,,CALABAZA
611,MIRROR,esfʷehú,e s fʷ e h ú,,From Spanish espejo,ura_2002_lex_mirror,1171,MIRROR,,ESPEJO
612,TASTE (SOMETHING),kuɨhɨn̪ãã́,k u ɨ h ɨ + n̪ ã ã́,,taste-NMLR',ura_2002_lex_taste,21,TASTE (SOMETHING),,PROBAR (DE SABOR)
613,POST,n̪ɨ̃hɨᶭá,n̪ ɨ̃ h ɨᶭ á,,,ura_2002_lex_post,281,POST,,POSTE
614,ALONE,hel̪aí,h e l̪ a í,,,ura_2002_lex_alone,1964,ALONE,,SOLO
615,EASY,kãĩt̪aí,k ã ĩ t̪ a í,,,ura_2002_lex_easy,686,EASY,,FÁCIL
616,LETTER,kid̺íʧa,k i d̺ í ʧ a,,"From Quechua qillqa 'text, writing'; it also means 'book' in Urarina",ura_2002_lex_letter,1612,LETTER,,CARTA
617,FROST,,,,,,2034,FROST,,ESCARCHA
618,SICKLE,,,,,,341,SICKLE,,HOZ
619,DIFFICULT,kaĩt̪át̪i,k a ĩ t̪ á - t̪ i,,be.difficult-INTENS:NMLR',ura_2002_lex_difficult,584,DIFFICULT,,DIFÍCIL
620,RAM,,,,,,1344,RAM,,OVEJA MACHO
621,SMELL,d̺iɲãn̪ãã́,d̺ i ɲ ã + n̪ ã ã́,,smell-NMLR',ura_2002_lex_smell,2124,SMELL,,OLER
622,OLD MAN,biɲãá,b i ɲ ã á,,,ura_2002_lex_old man,406,OLD MAN,,ANCIANO
623,HIGH,fed̺uʷad̺í,f e d̺ uʷ a d̺ í,,,ura_2002_lex_high,1265,HIGH,,ALTO
624,RABBIT,,,,,,1136,RABBIT,,CONEJO
625,TEA,,,,,,1373,TEA,,TÉ
626,REPAIR,d̺ɨʰkɨᶭen̪ã́,d̺ ɨʰ k ɨᶭ e + n̪ ã́,,repair-NMLR',ura_2002_lex_repair,2243,REPAIR,,REPARAR
627,ANKLE,t̪aiʧú,t̪ a i ʧ ú,,,ura_2002_lex_ankle,803,ANKLE,,TOBILLO
628,BELIEVE,es̪en̪ẽt̪an̪ã́,e s̪ e n̪ ẽ t̪ a + n̪ ã́,,believe',ura_2002_lex_believe,1890,BELIEVE,,CREER
629,DISEASE,kɨn̪ã́i,k ɨ n̪ ã́ i,,,ura_2002_lex_disease,1986,DISEASE,,ENFERMEDAD
630,COVER,kun̪ããn̪ã́,k u n̪ ã ã + n̪ ã́,,cover-NMLR',ura_2002_lex_cover,761,COVER,,CUBRIR
631,AFTER,,,,,,1685,AFTER,,DESPUÉS
632,STORY,wit̪akɨʰn̪ɨ̃́ka,w i t̪ a k ɨʰ n̪ ɨ̃́ k a,,,ura_2002_lex_story,2060,STORY,,HISTORIA
633,LOCK,fʷen̪ãã́,fʷ e + n̪ ã ã́,,lock-NMLR',,1596,LOCK,,CERRAR
634,CALF,,,,,,1989,CALF,,BECERRO
635,SOAP,haboṍ,h a b o ṍ ,,From Spanish jabón,ura_2002_lex_soap,788,SOAP,,JABÓN
636,SPIN,d̺eʰt̪en̪ãã́,d̺ eʰ t̪ e + n̪ ã ã́,,spin-NMLR',ura_2002_lex_spin,121,SPIN,,GIRAR
637,EARLY,han̪ṹn̪ẽ,h a n̪ ṹ n̪ ẽ,,,ura_2002_lex_early,672,EARLY,,TEMPRANO
638,MISTAKE,fʷaeɾé,fʷ a e ɾ é,,,ura_2002_lex_mistake,1293,MISTAKE,,ERROR
639,MALE GOAT,,,,,,2475,MALE GOAT,,CHIVO
640,PAINFUL,kun̪ãt̪ĩĩ́,k u n̪ ã + t̪ ĩ + ĩ́ ,,hurt-INTENS-NMLR',ura_2002_lex_painful,1129,PAINFUL,,DOLOROSO
641,POINTED,ahiɲãʰt̪í,a h i ɲ ãʰ t̪ í,,,ura_2002_lex_pointed,372,POINTED,,PUNTIAGUDO
642,READ,ed̺ed̺eʰt̪an̪ãã́,e d̺ e d̺ eʰ t̪ a + n̪ ã ã́,,read-NMLR',ura_2002_lex_read,724,READ,,LEER
643,PUT ON,t̪en̪ãã́,t̪ e + n̪ ã ã́,,put on-NMLR',ura_2002_lex_put on,158,PUT ON,,PONERSE
644,WORLD,,,,,,965,WORLD,,MUNDO
645,BREAK (OF ROPE),,,,,,460,BREAK (OF ROPE),,Romper (de cuerda)
646,SLEEVE,,,,,,2953,SLEEVE,,MANGA
647,HATE,uʰt̪aiɲãã́,uʰ t̪ a i + ɲ ã ã́,,hate-NMLR',ura_2002_lex_hate,1607,HATE,,ODIAR
648,DILIGENT,,,,,,2077,DILIGENT,,DILIGENTE
649,THIN (OF SHAPE OF OBJECT),hʲun̪ũẽ́ki,hʲ u n̪ ũ ẽ́ k i,,,ura_2002_lex_thin ,2249,THIN (OF SHAPE OF OBJECT),,Delgado (de forma del objeto)
650,CHAMELEON,fʷueɾán̪ũ,fʷ u e ɾ á n̪ ũ,,,ura_2002_lex_chameleon,1555,CHAMELEON,,CAMALEÓN
651,SHIELD,,,,,,1064,SHIELD,,BLINDAJE
652,HANG UP,dʒaʰt̪uɾukan̪ãã́,dʒ aʰ t̪ u ɾ u + k a + n̪ ã ã́,,be.hanging-DER-NMLR',ura_2002_lex_hang up,357,HANG UP,,COLGAR
653,OFTEN,,,,,,1852,OFTEN,,A MENUDO
654,HAWK,,,,,,307,HAWK,,HALCÓN
655,FAMILY,n̪ãd̺aí,n̪ ã d̺ a í,,,ura_2002_lex_family,194,FAMILY,,FAMILIA
656,BOX,,,,,,1465,BOX,,CAJA
657,CHANGE,kud̺en̪ãã́,k u d̺ e + n̪ ã ã́,,change-NMLR',ura_2002_lex_change,1264,CHANGE,,CAMBIAR
658,BE,aiɲãã́,a i + ɲ ã ã́,,be-NMLR',ura_2002_lex_be,1579,BE,,SER
659,LIKE,d̺aiʰt̪an̪ãã́,d̺ a iʰ t̪ a + n̪ ã ã́,,like-NMLR',ura_2002_lex_like,1117,LIKE,,GUSTAR
660,STINKING,s̪aiɲãt̪í,s̪ a i ɲ ã + t̪ í,,stink-INTENS:NMLR',ura_2002_lex_stinking,42,STINKING,,MALOLIENTE
661,PAIN,kɨn̪ã́,k ɨ n̪ ã́,,,ura_2002_lex_pain,1783,PAIN,,DOLOR
662,ASK (REQUEST),bahan̪ãã́,b a h a + n̪ ã ã́,,ask-NMLR',ura_2002_lex_ask (request),1828,ASK (REQUEST),,Preguntar (solicitud)
663,FEVER,s̪iʰtʒuʷé,s̪ iʰ tʒ uʷ é,,,ura_2002_lex_fever,1534,FEVER,,FIEBRE
664,FISHHOOK,kaʰt̪aí,k aʰ t̪ a í,,,ura_2002_lex_fishhook,1074,FISHHOOK,,ANZUELO
665,MISPLACE,n̪ĩʰt̪ahen̪ãã́,n̪ ĩʰ t̪ a h e + n̪ ã ã́,,misplace-NMLR',ura_2002_lex_misplace,3072,MISPLACE,,PERDER
666,IMMEDIATELY,l̪ed̺ekuʰt̪aɾiĩ́,l̪ e d̺ e k uʰ t̪ a ɾ i ĩ́ ,,,ura_2002_lex_immediately,1963,IMMEDIATELY,,INMEDIATAMENTE
667,PATH,bed̺ú,b e d̺ ú,,,ura_2002_lex_path,2252,PATH,,CAMINO
668,UNDERSTAND,aun̪ãn̪ã́,a u n̪ ã + n̪ ã́,,understand-NMLR',ura_2002_lex_understand,1536,UNDERSTAND,,ENTENDER
669,WAIST,s̪iʰt̪uú,s̪ iʰ t̪ u ú ,,,ura_2002_lex_waist,1681,WAIST,,CINTURA
670,"DWELL (LIVE, RESIDE)",n̪ẽn̪ãã́,n̪ ẽ + n̪ ã ã́,,exist-NMLR',ura_2002_lex_dwell,363,"DWELL (LIVE, RESIDE)",,"Habitar (vivir, residir)"
671,BUCKET,,,,,,2052,BUCKET,,BALDE
672,SHALLOW,iʰtʒɨɰá,iʰ tʒ ɨ ɰ á,,,ura_2002_lex_shallow,193,SHALLOW,,POCO PROFUNDO
673,PUS,fʷuɨl̪é,fʷ u ɨ l̪ é,,,ura_2002_lex_pus,1808,PUS,,PUS
674,SHAKE,l̪iaan̪ãã́,l̪ i a a + n̪ ã ã́,,move-NMLR',ura_2002_lex_shake,1909,SHAKE,,AGITAR
675,TOAD,d̪ad̺í,d̪ a d̺ í,,,ura_2002_lex_toad,894,TOAD,,SAPO
676,FRESHWATER EEL,as̪ɨ́,a s̪ ɨ́,,,ura_2002_lex_freshwater eel,1013,FRESHWATER EEL,,Anguila de agua dulce
677,TUMBLE (FALL DOWN),kumũn̪ãã́,k u m ũ + n̪ ã ã́,,fall.down-NMLR',ura_2002_lex_tumble (fall down),2894,TUMBLE (FALL DOWN),,CAER
678,WALKING STICK,n̪ẽn̪ẽd̺á,n̪ ẽ n̪ ẽ d̺ á,,,ura_2002_lex_walking stick,1296,WALKING STICK,,BASTÓN
679,AGE,ahaan̪ãã́,a h a a n̪ ã ã́,,,ura_2002_lex_age,1789,AGE,,EDAD
680,SEPARATE,kud̺iae t̪akahe n̪ẽn̪ã́,k u d̺ i a e + t̪ a k a h e + n̪ ẽ n̪ ã́ ,,distance' + '?' + '?',ura_2002_lex_separate,1359,SEPARATE,,SEPARADO
681,QUIVER (FOR ARROWS),,,,,,995,QUIVER (FOR ARROWS),,CARCAJ (DEPÓSITO PARA FLECHAS)
682,BETWEEN,,,,,,689,BETWEEN,,ENTRE
683,COMB (VERB),kuʰt̪ud̺uhí n̪ãl̪an̪ãã́,k uʰ t̪ u d̺ u h í + n̪ ã l̪ a + n̪ ã ã́ ,,hair' + 'drop-NMLR',ura_2002_lex_comb (verb),2070,COMB (VERB),,PEINAR
684,SMALLPOX,ʃad̺aafʷí,ʃ a d̺ a a fʷ í,,,ura_2002_lex_smallpox,1054,SMALLPOX,,VIRUELA
685,GARLIC,ahuús̪u,a h u ú s̪ u,,From Spanish ajo ,ura_2002_lex_garlic,2368,GARLIC,,AJO
686,DRY SEASON,jakun̪ã́,j a k u n̪ ã́,,,ura_2002_lex_dry season,452,DRY SEASON,,ESTACIÓN SECA
687,RAINY SEASON,el̪u n̪ẽhen̪ãã́,e l̪ u + n̪ ẽ h e + n̪ ã ã́,,rain' + '?' + NMLR ,ura_2002_lex_rainy season,453,RAINY SEASON,,TEMPORADA DE LLUVIAS
688,DONKEY,,,,,ura_2002_lex_donkey,1862,DONKEY,,BURRO
689,SALTY,kuʰt̪ebet̪iĩ́,k uʰ + t̪ e b e + t̪ i + ĩ́,,ASC-salt-INTENS-NMLR',ura_2002_lex_salty,1091,SALTY,,SALADO
690,SPEECH,ed̺en̪ãã́,e d̺ e + n̪ ã ã́ ,,"speak-NMLR'; typically, edenaa means 'word'",ura_2002_lex_speech,1115,SPEECH,,DISCURSO
691,PESTLE,l̪ud̺iá,,,,ura_2002_lex_pestle,225,PESTLE,,MAJADERO
692,SINK (DESCEND),n̪ãl̪an̪ãã́,n̪ ã l̪ a + n̪ ã ã́,,drop-NMLR',ura_2002_lex_sink (descend),1088,SINK (DESCEND),,HUNDIR
693,EAGLE OR HAWK,hiuhíd̺i,h i u h í d̺ i,,,ura_2002_lex_eagle or hawk,2683,EAGLE OR HAWK,,Águila o halcón
694,FEED,kud̺aat̪en̪ãã́,k u d̺ a a t̪ e + n̪ ã ã́ ,,feed-NMLR',ura_2002_lex_feed,739,FEED,,ALIMENTAR
696,BURNING,ahaat̪í,a h a a t̪ í,,,ura_2002_lex_burning,1428,BURNING,,QUEMANTE
697,FIND,han̪ĩɲã́,h a n̪ ĩ + ɲ ã́,,find-NMLR',ura_2002_lex_find,719,FIND,,ENCONTRAR
698,COUNTRY,n̪ẽs̪é,n̪ ẽ s̪ é ,,,ura_2002_lex_country,1300,COUNTRY,,PAÍS
699,CAMP,,,,,,1105,CAMP,,ACAMPAR
700,YES,eehé,e e h é ,,,ura_2002_lex_yes,1268,YES,,SÍ
701,LEECH,mãhiaɾád̺i,m ã h i a ɾ á d̺ i,,,ura_2002_lex_leech,2273,LEECH,,SANGUIJUELA
702,SPARROW,t̪ihia bád̺u,t̪ i h i a + b á d̺ u,,ankle' + 'ball'; metaphoric,ura_2002_lex_sparrow,1854,SPARROW,,GORRIÓN
703,VULVA,,,,,,1837,VULVA,,VULVA
704,BEGIN,n̪ɨ̃n̪ɨ̃ɨ̃t̪en̪ãã́,n̪ ɨ̃ n̪ ɨ̃ ɨ̃ t̪ e + n̪ ã ã́ ,,begin-NMLR',ura_2002_lex_begin,1806,BEGIN,,COMENZAR
705,CUP,,,,,,476,CUP,,TAZA
706,PEEL,ed̺uʷen̪ãã́,e d̺ uʷ e n̪ ã ã́ ,,,ura_2002_lex_peel,275,PEEL,,CÁSCARA
707,THINK (REFLECT),kuaɨn̪ã́,k u a ɨ + n̪ ã́ ,,think-NMLR',ura_2022_lex_think,1415,THINK (REFLECT),,PENSAR
708,CURE,kuiʧan̪ã́,k u i ʧ a n̪ ã́,,,ura_2022_lex_cure,499,CURE,,CURAR
709,BEGIN OR START,n̪ɨ̃n̪ɨ̃ẽt̪en̪ã́,n̪ ɨ̃ n̪ ɨ̃ ẽ t̪ e + n̪ ã́ á ,,begin-NMLR',ura_2022_lex_begin,3447,BEGIN OR START,,Comenzar o comenzar
710,FRAGRANT,ɨhɨhíhʲai,ɨ h ɨ h í hʲ a i,,,ura_2022_lex_fragrant,376,FRAGRANT,,FRAGANTE
711,NAIL (TOOL),,,,,,502,NAIL (TOOL),,Uñas (herramienta)
712,BAY,,,,,,663,BAY,,BAHÍA
713,LIE (REST),n̪ẽl̪ud̺án̪ã,n̪ ẽ + l̪ u d̺ á + n̪ ã,,INTR-lie-NMLR',ura_2022_lex_lie (rest),1411,LIE (REST),,ECHARSE
714,DREAM,s̪in̪ĩ́,s̪ i n̪ ĩ́ ,,,ura_2022_lex_dream,2374,DREAM,,SUEÑO
715,WIN,amɨ̃d̺it̪un̪ãã́,a m ɨ̃ d̺ i t̪ u + n̪ ã ã́,,win-NMLR',ura_2022_lex_win,866,WIN,,GANAR
716,SUMMER,hjakun̪ã́,h j a k u n̪ ã́ ,,,ura_2022_lex_summer,1342,SUMMER,,VERANO
717,CRAWL,t̪ihjad̺un̪ã́,t̪ i h j a d̺ u + n̪ ã́,,crawl-NMLR',ura_2022_lex_crawl,96,CRAWL,,GATEAR
718,FLEE,s̪ud̺un̪ã́,s̪ u d̺ u + n̪ ã́ ,,flee-NMLR',ura_2022_lex_flee,956,FLEE,,HUIR
719,PIERCE,haʤɨn̪ã́,h a ʤ ɨ + n̪ ã́,,make.hole-NMLR',ura_2022_lex_pierce,398,PIERCE,,PERFORAR
720,WINTER,el̪un̪ẽhen̪ã́,e l̪ u + n̪ ẽ + h e n̪ ã́,,,ura_2022_lex_winter,1471,WINTER,,INVIERNO
721,TEACHER,kaʧaɹel̪áed̺a,k a ʧ a + ɹ e l̪ á + e d̺ a,,man teach-NMLR',ura_2022_lex_teacher,1038,TEACHER,,MAESTRO
722,SAW,,,,,,1948,SAW,,SERRUCHO
723,FOX,ad̺ul̪ád̺i,a d̺ u l̪ á d̺ i,,This is the name for possum; there is no fox,ura_2022_lex_possum,1312,FOX,,ZORRO
724,NIT,aʰt̪ad̺i t̪áhe,aʰ t̪ a d̺ i + t̪ á h e,,lice' + 'egg',ura_2022_lex_nit,267,NIT,,LIENDRE
725,BOOMERANG,,,,,,135,BOOMERANG,,BUMERANG
726,ROAST (SOMETHING),ahain̪ũn̪ã́,a h a i n̪ ũ + n̪ ã́ ,,roast-NMLR',ura_2022_lex_roast,1962,ROAST (SOMETHING),,ASAR
727,POISON,kud̺ái,k u d̺ á i,,,ura_2022_lex_poison,655,POISON,,VENENO
728,EDGE,n̪ãɨ̃ᶭã́,n̪ ã ɨ̃ᶭ ã́,,,ura_2022_lex_edge,863,EDGE,,BORDE
729,RISE (MOVE UPWARDS),,,,,,568,RISE (MOVE UPWARDS),,ASCENDER
